From,To,Operator,Distance,Duration,Bus Type,Departure,Arrival
Dhamnod,Mumbai,RTS Royal Star-,501,0:10:35,Non A/c,08:20:00 PM,06:55:00 AM
Dhamnod,Mumbai,Hans Travels Indore-,501,0:10:20,Volvo  A/c,07:45:00 PM,06:05:00 AM
Dhamnod,Mumbai,Hans Travels Indore-NON STOP,501,0:11:20,A/c,11:30:00 PM,10:50:00 AM
Dhamnod,Sangamner,Hans Travels Indore-,400,0:8:50,Volvo  A/c,07:35:00 PM,04:25:00 AM
Dhamnod,Ahmednagar,RTS Royal Star-,408,0:9:6,Non A/c,09:00:00 PM,06:06:00 AM
Dhamnod,Ahmednagar,Hans Travels Indore-NON STOP,408,0:7:45,Volvo  A/c,11:25:00 PM,07:10:00 AM
Dhamnod,Ahmednagar,Hans Travels Indore-,408,0:8:25,Volvo  A/c,08:25:00 PM,04:50:00 AM
Dhamnod,Ahmednagar,Hans Travels Indore-,408,0:9:35,Non A/c,07:30:00 PM,05:05:00 AM
Dhamnod,Ahmednagar,Hans Travels Indore-,408,0:9:35,Non A/c,08:30:00 PM,06:05:00 AM
Dhamnod,Ahmednagar,RTS Royal Star-WITH INDIVISUAL LCD,408,0:9:6,A/c,08:12:00 PM,05:18:00 AM
Dhamnod,Ahmednagar,Hans Travels Indore-,408,0:9:5,A/c,10:15:00 PM,07:20:00 AM
Dhamnod,Pune,RTS Royal Star-,541,0:11:46,Non A/c,09:00:00 PM,08:46:00 AM
Dhamnod,Pune,Hans Travels Indore-,541,0:12:5,Non A/c,08:30:00 PM,08:35:00 AM
Dhamnod,Pune,Hans Travels Indore-,541,0:10:25,Volvo  A/c,08:25:00 PM,06:50:00 AM
Dhamnod,Pune,Hans Travels Indore-,541,0:10:50,Volvo  A/c,07:35:00 PM,06:25:00 AM
Dhamnod,Pune,Hans Travels Indore-NON STOP,541,0:9:45,Volvo  A/c,11:25:00 PM,09:10:00 AM
Dhamnod,Pune,Hans Travels Indore-,541,0:12:5,Non A/c,07:30:00 PM,07:35:00 AM
Dhamnod,Pune,Hans Travels Indore-,541,0:11:5,A/c,10:15:00 PM,09:20:00 AM
Dhamnod,Pune,RTS Royal Star-WITH INDIVISUAL LCD,541,0:11:46,A/c,08:12:00 PM,07:58:00 AM
Dhamnod,Malegaon,RTS Royal Star-,223,0:5:35,Non A/c,11:20:00 PM,04:55:00 AM
Dhamnod,Malegaon,Hans Travels Indore-,213,0:5:20,A/c,09:45:00 PM,03:05:00 AM
Dhamnod,Malegaon,Hans Travels Indore-NON STOP,213,0:5:20,A/c,11:30:00 PM,04:50:00 AM
Dhamnod,Malegaon,Hans Travels Indore-,190,0:4:45,Non A/c,09:35:00 PM,02:20:00 AM
Dhamnod,Malegaon,Hans Travels Indore-,213,0:5:20,A/c,10:15:00 PM,03:35:00 AM
Dhamnod,Malegaon,Hans Travels Indore-,197,0:4:55,Non A/c,08:35:00 PM,01:30:00 AM
Dhamnod,Malegaon,Hans Travels Indore-,190,0:4:45,Non A/c,10:50:00 PM,03:35:00 AM
Dhamnod,Malegaon,Hans Travels Indore-,190,0:4:45,Non A/c,11:20:00 PM,04:05:00 AM
Dhamnod,Malegaon,Hans Travels Indore-,213,0:5:20,Volvo  A/c,07:35:00 PM,12:55:00 AM
Dhamnod,Malegaon,Hans Travels Indore-,213,0:5:20,Non A/c,07:30:00 PM,12:50:00 AM
Dhamnod,Malegaon,Hans Travels Indore-,213,0:5:20,Non A/c,08:30:00 PM,01:50:00 AM
Dhamnod,Malegaon,Hans Travels Indore-,200,0:5:0,Volvo  A/c,08:25:00 PM,01:25:00 AM
Dhamnod,Malegaon,Hans Travels Indore-,213,0:5:20,Volvo  A/c,07:45:00 PM,01:05:00 AM
